Year,Player
2017,LeBron James
2017,Kawhi Leonard
2017,Anthony Davis
2017,James Harden
2017,Russell Westbrook
2017,Giannis Antetokounmpo
2017,Kevin Durant
2017,Rudy Gobert
2017,Stephen Curry
2017,Isaiah Thomas
2016,LeBron James
2016,Kawhi Leonard
2016,DeAndre Jordan
2016,Stephen Curry
2016,Russell Westbrook
2016,Kevin Durant
2016,Draymond Green
2016,DeMarcus Cousins
2016,Chris Paul
2016,Damian Lillard
2015,LeBron James
2015,Anthony Davis
2015,Marc Gasol
2015,Stephen Curry
2015,James Harden
2015,LaMarcus Aldridge
2015,DeMarcus Cousins
2015,Pau Gasol
2015,Russell Westbrook
2015,Chris Paul
2014,Kevin Durant
2014,LeBron James
2014,Joakim Noah
2014,James Harden
2014,Chris Paul
2014,Blake Griffin
2014,Kevin Love
2014,Dwight Howard
2014,Stephen Curry
2014,Tony Parker
2013,LeBron James
2013,Kevin Durant
2013,Tim Duncan
2013,Kobe Bryant
2013,Chris Paul
2013,Carmelo Anthony
2013,Blake Griffin
2013,Marc Gasol
2013,Tony Parker
2013,Russell Westbrook
2012,Kevin Durant
2012,LeBron James
2012,Dwight Howard
2012,Kobe Bryant
2012,Derrick Rose
2012,Kevin Love
2012,Blake Griffin
2012,Andrew Bynum
2012,Tony Parker
2012,Russell Westbrook
2011,Kevin Durant
2011,LeBron James
2011,Dwight Howard
2011,Kobe Bryant
2011,Derrick Rose
2011,Pau Gasol
2011,Dirk Nowitzki
2011,Amar'e Stoudemire
2011,Dwyane Wade
2011,Russell Westbrook
2010,Kevin Durant
2010,LeBron James
2010,Dwight Howard
2010,Kobe Bryant
2010,Dwyane Wade
2010,Carmelo Anthony
2010,Dirk Nowitzki
2010,Amar'e Stoudemire
2010,Steve Nash
2010,Deron Williams
2009,Dirk Nowitzki
2009,LeBron James
2009,Dwight Howard
2009,Kobe Bryant
2009,Dwyane Wade
2009,Tim Duncan
2009,Paul Pierce
2009,Yao Ming
2009,Chris Paul
2009,Brandon Roy
2008,Kevin Garnett
2008,LeBron James
2008,Dwight Howard
2008,Kobe Bryant
2008,Chris Paul
2008,Tim Duncan
2008,Dirk Nowitzki
2008,Amar'e Stoudemire
2008,Steve Nash
2008,Deron Williams
2007,Tim Duncan
2007,Dirk Nowitzki
2007,Amar'e Stoudemire
2007,Kobe Bryant
2007,Steve Nash
2007,Chris Bosh
2007,LeBron James
2007,Yao Ming
2007,Gilbert Arenas
2007,Tracy McGrady
2006,LeBron James
2006,Dirk Nowitzki
2006,Shaquille O'Neal
2006,Kobe Bryant
2006,Steve Nash
2006,Elton Brand
2006,Tim Duncan
2006,Ben Wallace
2006,Chauncey Billups
2006,Dwyane Wade
2005,Tim Duncan
2005,Dirk Nowitzki
2005,Shaquille O'Neal
2005,Allen Iverson
2005,Steve Nash
2005,Kevin Garnett
2005,LeBron James
2005,Amar'e Stoudemire
2005,Ray Allen
2005,Dwyane Wade
2004,Tim Duncan
2004,Kevin Garnett
2004,Shaquille O'Neal
2004,Kobe Bryant
2004,Jason Kidd
2004,Tracy McGrady
2004,Peja Stojakovic
2004,Jermaine O'Neal
2004,Ben Wallace
2004,Sam Cassell
2003,Tim Duncan
2003,Kevin Garnett
2003,Shaquille O'Neal
2003,Kobe Bryant
2003,Tracy McGrady
2003,Dirk Nowitzki
2003,Chris Webber
2003,Ben Wallace
2003,Allen Iverson
2003,Jason Kidd
2002,Tim Duncan
2002,Tracy McGrady
2002,Shaquille O'Neal
2002,Kobe Bryant
2002,Jason Kidd
2002,Kevin Garnett
2002,Chris Webber
2002,Dirk Nowitzki
